FUND CASH ACCT SEQ,INVST PLAN ARR SEQ,ACCT CASH FUND,ACCT CASH FUND TYPE CDE,CCY ACCT CASH FUND CDE,LAST INGESTION TIMESTAMP,PRM_LNE_OF_BUS_CDE_FILTER,CTRY_CDE_FILTER,ENTITY_CDE_FILTER
152399,6356743,410000,56700E,8997, Current_timestamp(), 154ud85, SAP10570, 57SAT52
152400,6356744,410000,56700E,8998, Current_timestamp(), 154ud86, SAP10571, 57SAT53
152401,6356745,410000,56700E,8999, Current_timestamp(), 154ud87, SAP10572, 57SAT54
152402,6356746,410000,56700E,9000, Current_timestamp(), 154ud88, SAP10573, 57SAT55
152403,6356747,410000,56700E,9001, Current_timestamp(), 154ud89, SAP10574, 57SAT56
152404,6356748,410000,56700E,9002, Current_timestamp(), 154ud90, SAP10575, 57SAT57
152405,6356749,410000,56700E,9003, Current_timestamp(), 154ud91, SAP10576, 57SAT58
152406,6356750,410000,56700E,9004, Current_timestamp(), 154ud92, SAP10577, 57SAT59
152407,6356751,410000,56700E,9005, Current_timestamp(), 154ud93, SAP10578, 57SAT60
152408,6356752,410000,56700E,9006, Current_timestamp(), 154ud94, SAP10579, 57SAT61
152409,6356753,410000,56700E,9007, Current_timestamp(), 154ud95, SAP10580, 57SAT62
152410,6356754,410000,56700E,9008, Current_timestamp(), 154ud96, SAP10581, 57SAT63
152411,6356755,410000,56700E,9009, Current_timestamp(), 154ud97, SAP10582, 57SAT64
152412,6356756,410000,56700E,9010, Current_timestamp(), 154ud98, SAP10583, 57SAT65
152413,6356757,410000,56700E,9011, Current_timestamp(), 154ud99, SAP10584, 57SAT66
152414,6356758,410000,56700E,9012, Current_timestamp(), 154ud100, SAP10585, 57SAT67
152415,6356759,410000,56700E,9013, Current_timestamp(), 154ud101, SAP10586, 57SAT68
152416,6356760,410000,56700E,9014, Current_timestamp(), 154ud102, SAP10587, 57SAT69
152417,6356761,410000,56700E,9015, Current_timestamp(), 154ud103, SAP10588, 57SAT70
152418,6356762,410000,56700E,9016, Current_timestamp(), 154ud104, SAP10589, 57SAT71
152419,6356763,410000,56700E,9017, Current_timestamp(), 154ud105, SAP10590, 57SAT72
152420,6356764,410000,56700E,9018, Current_timestamp(), 154ud106, SAP10591, 57SAT73
152421,6356765,410000,56700E,9019, Current_timestamp(), 154ud107, SAP10592, 57SAT74
152422,6356766,410000,56700E,9020, Current_timestamp(), 154ud108, SAP10593, 57SAT75
152423,6356767,410000,56700E,9021, Current_timestamp(), 154ud109, SAP10594, 57SAT76
152424,6356768,410000,56700E,9022, Current_timestamp(), 154ud110, SAP10595, 57SAT77
152425,6356769,410000,56700E,9023, Current_timestamp(), 154ud111, SAP10596, 57SAT78
152426,6356770,410000,56700E,9024, Current_timestamp(), 154ud112, SAP10597, 57SAT79
152427,6356771,410000,56700E,9025, Current_timestamp(), 154ud113, SAP10598, 57SAT80
152428,6356772,410000,56700E,9026, Current_timestamp(), 154ud114, SAP10599, 57SAT81
152429,6356773,410000,56700E,9027, Current_timestamp(), 154ud115, SAP10600, 57SAT82
152430,6356774,410000,56700E,9028, Current_timestamp(), 154ud116, SAP10601, 57SAT83
152431,6356775,410000,56700E,9029, Current_timestamp(), 154ud117, SAP10602, 57SAT84
152432,6356776,410000,56700E,9030, Current_timestamp(), 154ud118, SAP10603, 57SAT85
152433,6356777,410000,56700E,9031, Current_timestamp(), 154ud119, SAP10604, 57SAT86
152434,6356778,410000,56700E,9032, Current_timestamp(), 154ud120, SAP10605, 57SAT87
152435,6356779,410000,56700E,9033, Current_timestamp(), 154ud121, SAP10606, 57SAT88
152436,6356780,410000,56700E,9034, Current_timestamp(), 154ud122, SAP10607, 57SAT89
152437,6356781,410000,56700E,9035, Current_timestamp(), 154ud123, SAP10608, 57SAT90
152438,6356782,410000,56700E,9036, Current_timestamp(), 154ud124, SAP10609, 57SAT91
152439,6356783,410000,56700E,9037, Current_timestamp(), 154ud125, SAP10610, 57SAT92
152440,6356784,410000,56700E,9038, Current_timestamp(), 154ud126, SAP10611, 57SAT93
152441,6356785,410000,56700E,9039, Current_timestamp(), 154ud127, SAP10612, 57SAT94
152442,6356786,410000,56700E,9040, Current_timestamp(), 154ud128, SAP10613, 57SAT95
152443,6356787,410000,56700E,9041, Current_timestamp(), 154ud129, SAP10614, 57SAT96
152444,6356788,410000,56700E,9042, Current_timestamp(), 154ud130, SAP10615, 57SAT97
152445,6356789,410000,56700E,9043, Current_timestamp(), 154ud131, SAP10616, 57SAT98
152446,6356790,410000,56700E,9044, Current_timestamp(), 154ud132, SAP10617, 57SAT99
152447,6356791,410000,56700E,9045, Current_timestamp(), 154ud133, SAP10618, 57SAT100
152448,6356792,410000,56700E,9046, Current_timestamp(), 154ud134, SAP10619, 57SAT101
152449,6356793,410000,56700E,9047, Current_timestamp(), 154ud135, SAP10620, 57SAT102
152450,6356794,410000,56700E,9048, Current_timestamp(), 154ud136, SAP10621, 57SAT103
152451,6356795,410000,56700E,9049, Current_timestamp(), 154ud137, SAP10622, 57SAT104
152452,6356796,410000,56700E,9050, Current_timestamp(), 154ud138, SAP10623, 57SAT105
152453,6356797,410000,56700E,9051, Current_timestamp(), 154ud139, SAP10624, 57SAT106
152454,6356798,410000,56700E,9052, Current_timestamp(), 154ud140, SAP10625, 57SAT107
152455,6356799,410000,56700E,9053, Current_timestamp(), 154ud141, SAP10626, 57SAT108
152456,6356800,410000,56700E,9054, Current_timestamp(), 154ud142, SAP10627, 57SAT109
152457,6356801,410000,56700E,9055, Current_timestamp(), 154ud143, SAP10628, 57SAT110
152458,6356802,410000,56700E,9056, Current_timestamp(), 154ud144, SAP10629, 57SAT111
152459,6356803,410000,56700E,9057, Current_timestamp(), 154ud145, SAP10630, 57SAT112
152460,6356804,410000,56700E,9058, Current_timestamp(), 154ud146, SAP10631, 57SAT113
152461,6356805,410000,56700E,9059, Current_timestamp(), 154ud147, SAP10632, 57SAT114
152462,6356806,410000,56700E,9060, Current_timestamp(), 154ud148, SAP10633, 57SAT115
152463,6356807,410000,56700E,9061, Current_timestamp(), 154ud149, SAP10634, 57SAT116
152464,6356808,410000,56700E,9062, Current_timestamp(), 154ud150, SAP10635, 57SAT117
152465,6356809,410000,56700E,9063, Current_timestamp(), 154ud151, SAP10636, 57SAT118
152466,6356810,410000,56700E,9064, Current_timestamp(), 154ud152, SAP10637, 57SAT119
152467,6356811,410000,56700E,9065, Current_timestamp(), 154ud153, SAP10638, 57SAT120
152468,6356812,410000,56700E,9066, Current_timestamp(), 154ud154, SAP10639, 57SAT121
152469,6356813,410000,56700E,9067, Current_timestamp(), 154ud155, SAP10640, 57SAT122
152470,6356814,410000,56700E,9068, Current_timestamp(), 154ud156, SAP10641, 57SAT123
152471,6356815,410000,56700E,9069, Current_timestamp(), 154ud157, SAP10642, 57SAT124
152472,6356816,410000,56700E,9070, Current_timestamp(), 154ud158, SAP10643, 57SAT125
152473,6356817,410000,56700E,9071, Current_timestamp(), 154ud159, SAP10644, 57SAT126
152474,6356818,410000,56700E,9072, Current_timestamp(), 154ud160, SAP10645, 57SAT127
152475,6356819,410000,56700E,9073, Current_timestamp(), 154ud161, SAP10646, 57SAT128
152476,6356820,410000,56700E,9074, Current_timestamp(), 154ud162, SAP10647, 57SAT129
152477,6356821,410000,56700E,9075, Current_timestamp(), 154ud163, SAP10648, 57SAT130
152478,6356822,410000,56700E,9076, Current_timestamp(), 154ud164, SAP10649, 57SAT131
152479,6356823,410000,56700E,9077, Current_timestamp(), 154ud165, SAP10650, 57SAT132
152480,6356824,410000,56700E,9078, Current_timestamp(), 154ud166, SAP10651, 57SAT133
152481,6356825,410000,56700E,9079, Current_timestamp(), 154ud167, SAP10652, 57SAT134
152482,6356826,410000,56700E,9080, Current_timestamp(), 154ud168, SAP10653, 57SAT135
152483,6356827,410000,56700E,9081, Current_timestamp(), 154ud169, SAP10654, 57SAT136
152484,6356828,410000,56700E,9082, Current_timestamp(), 154ud170, SAP10655, 57SAT137
152485,6356829,410000,56700E,9083, Current_timestamp(), 154ud171, SAP10656, 57SAT138
152486,6356830,410000,56700E,9084, Current_timestamp(), 154ud172, SAP10657, 57SAT139
152487,6356831,410000,56700E,9085, Current_timestamp(), 154ud173, SAP10658, 57SAT140
152488,6356832,410000,56700E,9086, Current_timestamp(), 154ud174, SAP10659, 57SAT141
152489,6356833,410000,56700E,9087, Current_timestamp(), 154ud175, SAP10660, 57SAT142
152490,6356834,410000,56700E,9088, Current_timestamp(), 154ud176, SAP10661, 57SAT143
152491,6356835,410000,56700E,9089, Current_timestamp(), 154ud177, SAP10662, 57SAT144
152492,6356836,410000,56700E,9090, Current_timestamp(), 154ud178, SAP10663, 57SAT145
152493,6356837,410000,56700E,9091, Current_timestamp(), 154ud179, SAP10664, 57SAT146
152494,6356838,410000,56700E,9092, Current_timestamp(), 154ud180, SAP10665, 57SAT147
152495,6356839,410000,56700E,9093, Current_timestamp(), 154ud181, SAP10666, 57SAT148
152496,6356840,410000,56700E,9094, Current_timestamp(), 154ud182, SAP10667, 57SAT149
152497,6356841,410000,56700E,9095, Current_timestamp(), 154ud183, SAP10668, 57SAT150
152498,6356842,410000,56700E,9096, Current_timestamp(), 154ud184, SAP10669, 57SAT151
152499,6356843,410000,56700E,9097, Current_timestamp(), 154ud185, SAP10670, 57SAT152
152500,6356844,410000,56700E,9098, Current_timestamp(), 154ud186, SAP10671, 57SAT153
152501,6356845,410000,56700E,9099, Current_timestamp(), 154ud187, SAP10672, 57SAT154
152502,6356846,410000,56700E,9100, Current_timestamp(), 154ud188, SAP10673, 57SAT155
152503,6356847,410000,56700E,9101, Current_timestamp(), 154ud189, SAP10674, 57SAT156
152504,6356848,410000,56700E,9102, Current_timestamp(), 154ud190, SAP10675, 57SAT157
152505,6356849,410000,56700E,9103, Current_timestamp(), 154ud191, SAP10676, 57SAT158
152506,6356850,410000,56700E,9104, Current_timestamp(), 154ud192, SAP10677, 57SAT159
152507,6356851,410000,56700E,9105, Current_timestamp(), 154ud193, SAP10678, 57SAT160
152508,6356852,410000,56700E,9106, Current_timestamp(), 154ud194, SAP10679, 57SAT161
152509,6356853,410000,56700E,9107, Current_timestamp(), 154ud195, SAP10680, 57SAT162
152510,6356854,410000,56700E,9108, Current_timestamp(), 154ud196, SAP10681, 57SAT163
152511,6356855,410000,56700E,9109, Current_timestamp(), 154ud197, SAP10682, 57SAT164
152512,6356856,410000,56700E,9110, Current_timestamp(), 154ud198, SAP10683, 57SAT165
152513,6356857,410000,56700E,9111, Current_timestamp(), 154ud199, SAP10684, 57SAT166
152514,6356858,410000,56700E,9112, Current_timestamp(), 154ud200, SAP10685, 57SAT167
152515,6356859,410000,56700E,9113, Current_timestamp(), 154ud201, SAP10686, 57SAT168
152516,6356860,410000,56700E,9114, Current_timestamp(), 154ud202, SAP10687, 57SAT169
152517,6356861,410000,56700E,9115, Current_timestamp(), 154ud203, SAP10688, 57SAT170
152518,6356862,410000,56700E,9116, Current_timestamp(), 154ud204, SAP10689, 57SAT171
152519,6356863,410000,56700E,9117, Current_timestamp(), 154ud205, SAP10690, 57SAT172
152520,6356864,410000,56700E,9118, Current_timestamp(), 154ud206, SAP10691, 57SAT173
152521,6356865,410000,56700E,9119, Current_timestamp(), 154ud207, SAP10692, 57SAT174
152522,6356866,410000,56700E,9120, Current_timestamp(), 154ud208, SAP10693, 57SAT175
152523,6356867,410000,56700E,9121, Current_timestamp(), 154ud209, SAP10694, 57SAT176
152524,6356868,410000,56700E,9122, Current_timestamp(), 154ud210, SAP10695, 57SAT177
152525,6356869,410000,56700E,9123, Current_timestamp(), 154ud211, SAP10696, 57SAT178
152526,6356870,410000,56700E,9124, Current_timestamp(), 154ud212, SAP10697, 57SAT179
152527,6356871,410000,56700E,9125, Current_timestamp(), 154ud213, SAP10698, 57SAT180
152528,6356872,410000,56700E,9126, Current_timestamp(), 154ud214, SAP10699, 57SAT181
152529,6356873,410000,56700E,9127, Current_timestamp(), 154ud215, SAP10700, 57SAT182
152530,6356874,410000,56700E,9128, Current_timestamp(), 154ud216, SAP10701, 57SAT183
152531,6356875,410000,56700E,9129, Current_timestamp(), 154ud217, SAP10702, 57SAT184
152532,6356876,410000,56700E,9130, Current_timestamp(), 154ud218, SAP10703, 57SAT185
152533,6356877,410000,56700E,9131, Current_timestamp(), 154ud219, SAP10704, 57SAT186
152534,6356878,410000,56700E,9132, Current_timestamp(), 154ud220, SAP10705, 57SAT187
152535,6356879,410000,56700E,9133, Current_timestamp(), 154ud221, SAP10706, 57SAT188
152536,6356880,410000,56700E,9134, Current_timestamp(), 154ud222, SAP10707, 57SAT189
152537,6356881,410000,56700E,9135, Current_timestamp(), 154ud223, SAP10708, 57SAT190
152538,6356882,410000,56700E,9136, Current_timestamp(), 154ud224, SAP10709, 57SAT191
152539,6356883,410000,56700E,9137, Current_timestamp(), 154ud225, SAP10710, 57SAT192
152540,6356884,410000,56700E,9138, Current_timestamp(), 154ud226, SAP10711, 57SAT193
152541,6356885,410000,56700E,9139, Current_timestamp(), 154ud227, SAP10712, 57SAT194
152542,6356886,410000,56700E,9140, Current_timestamp(), 154ud228, SAP10713, 57SAT195
152543,6356887,410000,56700E,9141, Current_timestamp(), 154ud229, SAP10714, 57SAT196
152544,6356888,410000,56700E,9142, Current_timestamp(), 154ud230, SAP10715, 57SAT197
152545,6356889,410000,56700E,9143, Current_timestamp(), 154ud231, SAP10716, 57SAT198
152546,6356890,410000,56700E,9144, Current_timestamp(), 154ud232, SAP10717, 57SAT199
152547,6356891,410000,56700E,9145, Current_timestamp(), 154ud233, SAP10718, 57SAT200
152548,6356892,410000,56700E,9146, Current_timestamp(), 154ud234, SAP10719, 57SAT201
152549,6356893,410000,56700E,9147, Current_timestamp(), 154ud235, SAP10720, 57SAT202
152550,6356894,410000,56700E,9148, Current_timestamp(), 154ud236, SAP10721, 57SAT203
152551,6356895,410000,56700E,9149, Current_timestamp(), 154ud237, SAP10722, 57SAT204
152552,6356896,410000,56700E,9150, Current_timestamp(), 154ud238, SAP10723, 57SAT205
152553,6356897,410000,56700E,9151, Current_timestamp(), 154ud239, SAP10724, 57SAT206
152554,6356898,410000,56700E,9152, Current_timestamp(), 154ud240, SAP10725, 57SAT207
152555,6356899,410000,56700E,9153, Current_timestamp(), 154ud241, SAP10726, 57SAT208
152556,6356900,410000,56700E,9154, Current_timestamp(), 154ud242, SAP10727, 57SAT209
152557,6356901,410000,56700E,9155, Current_timestamp(), 154ud243, SAP10728, 57SAT210
152558,6356902,410000,56700E,9156, Current_timestamp(), 154ud244, SAP10729, 57SAT211
152559,6356903,410000,56700E,9157, Current_timestamp(), 154ud245, SAP10730, 57SAT212
152560,6356904,410000,56700E,9158, Current_timestamp(), 154ud246, SAP10731, 57SAT213
152561,6356905,410000,56700E,9159, Current_timestamp(), 154ud247, SAP10732, 57SAT214
152562,6356906,410000,56700E,9160, Current_timestamp(), 154ud248, SAP10733, 57SAT215
152563,6356907,410000,56700E,9161, Current_timestamp(), 154ud249, SAP10734, 57SAT216
152564,6356908,410000,56700E,9162, Current_timestamp(), 154ud250, SAP10735, 57SAT217
152565,6356909,410000,56700E,9163, Current_timestamp(), 154ud251, SAP10736, 57SAT218
152566,6356910,410000,56700E,9164, Current_timestamp(), 154ud252, SAP10737, 57SAT219
152567,6356911,410000,56700E,9165, Current_timestamp(), 154ud253, SAP10738, 57SAT220
152568,6356912,410000,56700E,9166, Current_timestamp(), 154ud254, SAP10739, 57SAT221
152569,6356913,410000,56700E,9167, Current_timestamp(), 154ud255, SAP10740, 57SAT222
152570,6356914,410000,56700E,9168, Current_timestamp(), 154ud256, SAP10741, 57SAT223
152571,6356915,410000,56700E,9169, Current_timestamp(), 154ud257, SAP10742, 57SAT224
152572,6356916,410000,56700E,9170, Current_timestamp(), 154ud258, SAP10743, 57SAT225
152573,6356917,410000,56700E,9171, Current_timestamp(), 154ud259, SAP10744, 57SAT226
152574,6356918,410000,56700E,9172, Current_timestamp(), 154ud260, SAP10745, 57SAT227
152575,6356919,410000,56700E,9173, Current_timestamp(), 154ud261, SAP10746, 57SAT228
152576,6356920,410000,56700E,9174, Current_timestamp(), 154ud262, SAP10747, 57SAT229
152577,6356921,410000,56700E,9175, Current_timestamp(), 154ud263, SAP10748, 57SAT230
152578,6356922,410000,56700E,9176, Current_timestamp(), 154ud264, SAP10749, 57SAT231
152579,6356923,410000,56700E,9177, Current_timestamp(), 154ud265, SAP10750, 57SAT232
152580,6356924,410000,56700E,9178, Current_timestamp(), 154ud266, SAP10751, 57SAT233
152581,6356925,410000,56700E,9179, Current_timestamp(), 154ud267, SAP10752, 57SAT234
152582,6356926,410000,56700E,9180, Current_timestamp(), 154ud268, SAP10753, 57SAT235
152583,6356927,410000,56700E,9181, Current_timestamp(), 154ud269, SAP10754, 57SAT236
152584,6356928,410000,56700E,9182, Current_timestamp(), 154ud270, SAP10755, 57SAT237
152585,6356929,410000,56700E,9183, Current_timestamp(), 154ud271, SAP10756, 57SAT238
152586,6356930,410000,56700E,9184, Current_timestamp(), 154ud272, SAP10757, 57SAT239
152587,6356931,410000,56700E,9185, Current_timestamp(), 154ud273, SAP10758, 57SAT240
152588,6356932,410000,56700E,9186, Current_timestamp(), 154ud274, SAP10759, 57SAT241
152589,6356933,410000,56700E,9187, Current_timestamp(), 154ud275, SAP10760, 57SAT242
152590,6356934,410000,56700E,9188, Current_timestamp(), 154ud276, SAP10761, 57SAT243
152591,6356935,410000,56700E,9189, Current_timestamp(), 154ud277, SAP10762, 57SAT244
152592,6356936,410000,56700E,9190, Current_timestamp(), 154ud278, SAP10763, 57SAT245
152593,6356937,410000,56700E,9191, Current_timestamp(), 154ud279, SAP10764, 57SAT246
152594,6356938,410000,56700E,9192, Current_timestamp(), 154ud280, SAP10765, 57SAT247
152595,6356939,410000,56700E,9193, Current_timestamp(), 154ud281, SAP10766, 57SAT248
152596,6356940,410000,56700E,9194, Current_timestamp(), 154ud282, SAP10767, 57SAT249
152597,6356941,410000,56700E,9195, Current_timestamp(), 154ud283, SAP10768, 57SAT250
152598,6356942,410000,56700E,9196, Current_timestamp(), 154ud284, SAP10769, 57SAT251
152599,6356943,410000,56700E,9197, Current_timestamp(), 154ud285, SAP10770, 57SAT252
152600,6356944,410000,56700E,9198, Current_timestamp(), 154ud286, SAP10771, 57SAT253
152601,6356945,410000,56700E,9199, Current_timestamp(), 154ud287, SAP10772, 57SAT254
152602,6356946,410000,56700E,9200, Current_timestamp(), 154ud288, SAP10773, 57SAT255
152603,6356947,410000,56700E,9201, Current_timestamp(), 154ud289, SAP10774, 57SAT256
152604,6356948,410000,56700E,9202, Current_timestamp(), 154ud290, SAP10775, 57SAT257
152605,6356949,410000,56700E,9203, Current_timestamp(), 154ud291, SAP10776, 57SAT258
152606,6356950,410000,56700E,9204, Current_timestamp(), 154ud292, SAP10777, 57SAT259
152607,6356951,410000,56700E,9205, Current_timestamp(), 154ud293, SAP10778, 57SAT260
152608,6356952,410000,56700E,9206, Current_timestamp(), 154ud294, SAP10779, 57SAT261
152609,6356953,410000,56700E,9207, Current_timestamp(), 154ud295, SAP10780, 57SAT262
152610,6356954,410000,56700E,9208, Current_timestamp(), 154ud296, SAP10781, 57SAT263
152611,6356955,410000,56700E,9209, Current_timestamp(), 154ud297, SAP10782, 57SAT264
152612,6356956,410000,56700E,9210, Current_timestamp(), 154ud298, SAP10783, 57SAT265
152613,6356957,410000,56700E,9211, Current_timestamp(), 154ud299, SAP10784, 57SAT266
152614,6356958,410000,56700E,9212, Current_timestamp(), 154ud300, SAP10785, 57SAT267
152615,6356959,410000,56700E,9213, Current_timestamp(), 154ud301, SAP10786, 57SAT268
152616,6356960,410000,56700E,9214, Current_timestamp(), 154ud302, SAP10787, 57SAT269
152617,6356961,410000,56700E,9215, Current_timestamp(), 154ud303, SAP10788, 57SAT270
152618,6356962,410000,56700E,9216, Current_timestamp(), 154ud304, SAP10789, 57SAT271
152619,6356963,410000,56700E,9217, Current_timestamp(), 154ud305, SAP10790, 57SAT272
152620,6356964,410000,56700E,9218, Current_timestamp(), 154ud306, SAP10791, 57SAT273
152621,6356965,410000,56700E,9219, Current_timestamp(), 154ud307, SAP10792, 57SAT274
152622,6356966,410000,56700E,9220, Current_timestamp(), 154ud308, SAP10793, 57SAT275
152623,6356967,410000,56700E,9221, Current_timestamp(), 154ud309, SAP10794, 57SAT276
152624,6356968,410000,56700E,9222, Current_timestamp(), 154ud310, SAP10795, 57SAT277
152625,6356969,410000,56700E,9223, Current_timestamp(), 154ud311, SAP10796, 57SAT278
152626,6356970,410000,56700E,9224, Current_timestamp(), 154ud312, SAP10797, 57SAT279
152627,6356971,410000,56700E,9225, Current_timestamp(), 154ud313, SAP10798, 57SAT280
152628,6356972,410000,56700E,9226, Current_timestamp(), 154ud314, SAP10799, 57SAT281
152629,6356973,410000,56700E,9227, Current_timestamp(), 154ud315, SAP10800, 57SAT282
152630,6356974,410000,56700E,9228, Current_timestamp(), 154ud316, SAP10801, 57SAT283
152631,6356975,410000,56700E,9229, Current_timestamp(), 154ud317, SAP10802, 57SAT284
152632,6356976,410000,56700E,9230, Current_timestamp(), 154ud318, SAP10803, 57SAT285
152633,6356977,410000,56700E,9231, Current_timestamp(), 154ud319, SAP10804, 57SAT286
152634,6356978,410000,56700E,9232, Current_timestamp(), 154ud320, SAP10805, 57SAT287
152635,6356979,410000,56700E,9233, Current_timestamp(), 154ud321, SAP10806, 57SAT288
152636,6356980,410000,56700E,9234, Current_timestamp(), 154ud322, SAP10807, 57SAT289
152637,6356981,410000,56700E,9235, Current_timestamp(), 154ud323, SAP10808, 57SAT290
152638,6356982,410000,56700E,9236, Current_timestamp(), 154ud324, SAP10809, 57SAT291
152639,6356983,410000,56700E,9237, Current_timestamp(), 154ud325, SAP10810, 57SAT292
152640,6356984,410000,56700E,9238, Current_timestamp(), 154ud326, SAP10811, 57SAT293
152641,6356985,410000,56700E,9239, Current_timestamp(), 154ud327, SAP10812, 57SAT294
152642,6356986,410000,56700E,9240, Current_timestamp(), 154ud328, SAP10813, 57SAT295
152643,6356987,410000,56700E,9241, Current_timestamp(), 154ud329, SAP10814, 57SAT296
152644,6356988,410000,56700E,9242, Current_timestamp(), 154ud330, SAP10815, 57SAT297
152645,6356989,410000,56700E,9243, Current_timestamp(), 154ud331, SAP10816, 57SAT298
152646,6356990,410000,56700E,9244, Current_timestamp(), 154ud332, SAP10817, 57SAT299
152647,6356991,410000,56700E,9245, Current_timestamp(), 154ud333, SAP10818, 57SAT300
152648,6356992,410000,56700E,9246, Current_timestamp(), 154ud334, SAP10819, 57SAT301
152649,6356993,410000,56700E,9247, Current_timestamp(), 154ud335, SAP10820, 57SAT302
152650,6356994,410000,56700E,9248, Current_timestamp(), 154ud336, SAP10821, 57SAT303
152651,6356995,410000,56700E,9249, Current_timestamp(), 154ud337, SAP10822, 57SAT304
